tiempo total: 0:05:58.612821
tiempo creacion kb: 0:01:36.292503
tiempo para responder consulta: 0:04:16.703378
         1050620873 function calls (1047945851 primitive calls) in 358.727 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     62/1    0.000    0.000  358.727  358.727 {built-in method builtins.exec}
        1    0.016    0.016  358.727  358.727 prueba.py:1(<module>)
        1    0.049    0.049  358.596  358.596 prueba.py:212(test2)
        3    0.041    0.014  264.358   88.119 NetDERKB.py:21(add_ont_knowledge)
    22464   15.270    0.001  263.205    0.012 OntDB.py:28(add_atom)
        1    0.028    0.028  256.697  256.697 NetDERChase.py:316(answer_query)
 84297824  157.252    0.000  247.918    0.000 Atom.py:55(__eq__)
        1    0.000    0.000   96.282   96.282 NetDERKB.py:12(__init__)
        2    0.228    0.114   48.998   24.499 NetDERChase.py:148(applyStepTGDChase)
        2    0.068    0.034   47.957   23.979 NetDERChase.py:70(get_body_mapping)
 84390752   34.623    0.000   44.553    0.000 Term.py:19(__eq__)
        2    0.001    0.000   38.420   19.210 NetDiffProgram.py:14(diffusion)
        2    0.045    0.023   33.686   16.843 NetDiffInterpretation.py:46(applyLocalRule)
    36720    0.022    0.000   32.839    0.001 NetDiffInterpretation.py:31(areSatisfied)
    20966    7.419    0.000   32.816    0.002 NetDiffInterpretation.py:20(isSatisfied)
 37405114   11.714    0.000   29.649    0.000 NetDiffGraphElement.py:15(equals)
 54229925   10.181    0.000   22.825    0.000 {built-in method builtins.isinstance}
168810436   18.831    0.000   18.831    0.000 Atom.py:12(get_terms)
        4    0.021    0.005   18.299    4.575 NetDERChase.py:27(_get_atoms_mapping)
        4    0.153    0.038   18.278    4.569 Homomorphism.py:28(get_atoms_mapping)
253336348/253336322   18.209    0.000   18.209    0.000 {built-in method builtins.len}
     4000    0.006    0.000   18.141    0.005 NetDiffLocalRule.py:29(influence)
     4000    3.876    0.001   18.135    0.005 EnhancedTipping.py:10(influence)
 36948001    7.087    0.000   12.644    0.000 abc.py:96(__instancecheck__)
    16004    2.908    0.000   12.312    0.001 Homomorphism.py:11(get_atom_mapping)
109116000   12.218    0.000   12.218    0.000 Term.py:7(getId)
     8000    0.009    0.000   10.924    0.001 NetDiffInterpretation.py:79(_get_neighbours)
     8000    7.472    0.001   10.915    0.001 NetDiffGraph.py:58(get_neighbours)
 84418944    9.179    0.000    9.179    0.000 Atom.py:9(getId)
 12302464    6.765    0.000    9.028    0.000 GRE.py:9(is_mapped)
     4000    0.026    0.000    7.741    0.002 NetDiffInterpretation.py:82(_get_qualified_neigh)
  8000000    2.401    0.000    7.546    0.000 NetDiffEdge.py:30(__eq__)
2333031/133263    3.085    0.000    7.378    0.000 copy.py:128(deepcopy)
  7989736    4.830    0.000    6.375    0.000 NetDiffNode.py:32(__eq__)
200661/88335    0.237    0.000    6.300    0.000 copy.py:199(_deepcopy_list)
308054/141258    0.869    0.000    6.082    0.000 copy.py:257(_reconstruct)
 36948001    5.557    0.000    5.557    0.000 {built-in method _abc._abc_instancecheck}
352982/157258    0.777    0.000    5.444    0.000 copy.py:225(_deepcopy_dict)
     7248    5.375    0.001    5.375    0.001 {built-in method builtins.print}
 32438888    3.556    0.000    3.556    0.000 NetDiffNode.py:29(getId)
        2    0.011    0.005    2.865    1.433 NetDiffInterpretation.py:58(applyGlobalRule)
     6000    0.722    0.000    2.822    0.000 NetDiffInterpretation.py:69(getBound)
     4006    0.631    0.000    2.275    0.001 NetDiffInterpretation.py:98(_na_update)
      944    0.611    0.001    1.773    0.002 NetDiffInterpretation.py:38(applyFact)
  8003000    0.901    0.000    0.901    0.000 NetDiffEdge.py:21(getSource)
  8011000    0.868    0.000    0.868    0.000 NetDiffEdge.py:24(getTarget)
   861697    0.475    0.000    0.640    0.000 copy.py:241(_keep_alive)
   616108    0.151    0.000    0.581    0.000 copy.py:262(<genexpr>)
  5110605    0.514    0.000    0.514    0.000 {method 'get' of 'dict' objects}
    31313    0.125    0.000    0.465    0.000 interval.py:197(from_atomic)
    89856    0.256    0.000    0.402    0.000 Atom.py:36(map)
    24475    0.027    0.000    0.376    0.000 interval.py:38(closed)
  4189688    0.376    0.000    0.376    0.000 {built-in method builtins.id}
    28942    0.050    0.000    0.364    0.000 NetDiffWorld.py:10(isSatisfied)
    28942    0.118    0.000    0.279    0.000 interval.py:480(__contains__)
    60928    0.175    0.000    0.243    0.000 Atom.py:15(is_mapped)
     6838    0.024    0.000    0.227    0.000 NetDiffWorld.py:19(update)
    30464    0.060    0.000    0.197    0.000 Atom.py:25(get_mapping)
        4    0.011    0.003    0.195    0.049 NetDiffInterpretation.py:7(__init__)
     6838    0.044    0.000    0.189    0.000 interval.py:426(__and__)
    24012    0.013    0.000    0.181    0.000 NetDiffGraphElement.py:18(getInitialWorld)
    60261    0.106    0.000    0.175    0.000 interval.py:179(empty)
    24012    0.032    0.000    0.164    0.000 NetDiffWorld.py:5(__init__)
   308054    0.120    0.000    0.161    0.000 copyreg.py:90(__newobj__)
    31313    0.087    0.000    0.153    0.000 interval.py:101(__init__)
