tiempo total: 0:00:35.266278
tiempo de traduccion: 1900-01-01 00:00:00.016558
tiempo de construccion de homomorfismos 1900-01-01 00:00:00.071923
tiempo de ejecucion consulta SQL 1900-01-01 00:00:00.009589
tiempo creacion kb: 0:00:01.009957
tiempo para responder consulta: 0:00:29.023667
         84147746 function calls (83634982 primitive calls) in 35.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    157/1    0.001    0.000   35.442   35.442 {built-in method builtins.exec}
        1    0.013    0.013   35.442   35.442 prueba.py:1(<module>)
        1    0.042    0.042   35.253   35.253 prueba.py:240(test2)
        1    0.028    0.028   29.023   29.023 NetDERChase.py:333(answer_query)
        2    0.000    0.000   15.051    7.525 NetDiffProgram.py:14(diffusion)
        2    0.018    0.009   14.780    7.390 NetDiffInterpretation.py:46(applyLocalRule)
     8000    0.004    0.000   14.115    0.002 NetDiffInterpretation.py:79(_get_neighbours)
     8000    6.579    0.001   14.111    0.002 NetDiffGraph.py:57(get_neighbours)
        2    0.405    0.202   13.161    6.580 NetDERChase.py:118(applyStepTGDChase)
        2    0.065    0.032    8.520    4.260 NetDERChase.py:68(get_body_mapping)
    24464    0.011    0.000    8.151    0.000 NetDiffInterpretation.py:31(areSatisfied)
    14464    3.415    0.000    8.140    0.001 NetDiffInterpretation.py:20(isSatisfied)
     4000    0.004    0.000    7.055    0.002 NetDiffInterpretation.py:82(_get_qualified_neigh)
     7248    4.782    0.001    4.782    0.001 {built-in method builtins.print}
 14503302    3.344    0.000    4.556    0.000 NetDiffGraphElement.py:20(equals)
  8000000    2.289    0.000    3.071    0.000 NetDiffEdge.py:25(getTarget)
  8000000    2.261    0.000    2.996    0.000 NetDiffEdge.py:22(getSource)
    28974    2.679    0.000    2.679    0.000 {method 'execute' of 'mariadb.connection.cursor' objects}
 16043848    1.524    0.000    1.524    0.000 Term.py:11(getValue)
 16194893    1.488    0.000    1.488    0.000 Atom.py:15(getId)
        7    0.570    0.081    1.393    0.199 NetDERKB.py:99(add_ont_data)
     7232    0.074    0.000    1.285    0.000 NetDERChase.py:36(_save)
354721/36211    0.536    0.000    1.282    0.000 copy.py:128(deepcopy)
    14464    0.077    0.000    1.278    0.000 NetDERChase.py:24(_exists)
 14734688    1.234    0.000    1.234    0.000 {built-in method builtins.isinstance}
50632/36168    0.050    0.000    1.151    0.000 copy.py:199(_deepcopy_list)
43441/14509    0.161    0.000    1.017    0.000 copy.py:257(_reconstruct)
43441/14509    0.100    0.000    0.872    0.000 copy.py:225(_deepcopy_dict)
    93546    0.203    0.000    0.752    0.000 Atom.py:80(__hash__)
231857/111626    0.100    0.000    0.722    0.000 {built-in method builtins.hash}
     4000    0.003    0.000    0.534    0.000 NetDiffLocalRule.py:29(influence)
     4000    0.477    0.000    0.532    0.000 EnhancedTipping.py:10(influence)
   160945    0.203    0.000    0.384    0.000 Constant.py:10(__hash__)
    14483    0.325    0.000    0.325    0.000 {method 'union' of 'set' objects}
    21113    0.063    0.000    0.298    0.000 interval.py:197(from_atomic)
        3    0.000    0.000    0.288    0.096 NetDERKB.py:332(update_info)
        1    0.020    0.020    0.257    0.257 prueba.py:183(get_random_news_atoms)
    28932    0.132    0.000    0.240    0.000 RDBHomomorphism.py:28(__next__)
    14275    0.012    0.000    0.230    0.000 interval.py:38(closed)
   276201    0.190    0.000    0.190    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
    16370    0.021    0.000    0.187    0.000 Atom.py:6(__init__)
    14464    0.015    0.000    0.185    0.000 NetDiffWorld.py:10(isSatisfied)
   161/25    0.002    0.000    0.171    0.007 <frozen importlib._bootstrap>:986(_find_and_load)
   161/25    0.001    0.000    0.171    0.007 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        3    0.003    0.001    0.170    0.057 NetDERKB.py:148(_update_net_diff_facts)
    14464    0.046    0.000    0.157    0.000 interval.py:480(__contains__)
        1    0.000    0.000    0.154    0.154 NetDERKB.py:23(__init__)
    33551    0.011    0.000    0.153    0.000 {method 'add' of 'set' objects}
    17704    0.010    0.000    0.150    0.000 NetDERKB.py:230(exists)
     6838    0.012    0.000    0.150    0.000 NetDiffWorld.py:19(update)
   158/26    0.001    0.000    0.146    0.006 <frozen importlib._bootstrap>:650(_load_unlocked)
   136/25    0.000    0.000    0.145    0.006 <frozen importlib._bootstrap_external>:777(exec_module)
    20360    0.009    0.000    0.144    0.000 NetDiffGraphElement.py:26(__hash__)
   189/26    0.000    0.000    0.135    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    35583    0.096    0.000    0.130    0.000 interval.py:179(empty)
     6838    0.029    0.000    0.129    0.000 interval.py:426(__and__)
   137514    0.098    0.000    0.127    0.000 copy.py:241(_keep_alive)
        4    0.006    0.002    0.123    0.031 NetDiffInterpretation.py:7(__init__)
   276202    0.119    0.000    0.119    0.000 {built-in method _hashlib.openssl_sha1}
        3    0.003    0.001    0.118    0.039 NetDERKB.py:307(_update_graph)
    77833    0.078    0.000    0.116    0.000 Constant.py:6(__init__)
    12012    0.007    0.000    0.115    0.000 NetDiffGraphElement.py:23(getInitialWorld)
     4006    0.009    0.000    0.112    0.000 NetDiffInterpretation.py:98(_na_update)
    12012    0.012    0.000    0.105    0.000 NetDiffWorld.py:5(__init__)
      944    0.006    0.000    0.102    0.000 NetDiffInterpretation.py:38(applyFact)
    21113    0.069    0.000    0.099    0.000 interval.py:101(__init__)
        1    0.002    0.002    0.098    0.098 prueba.py:210(get_netDiffGraph)
    86882    0.026    0.000    0.095    0.000 copy.py:262(<genexpr>)
   761606    0.086    0.000    0.086    0.000 {method 'get' of 'dict' objects}
      159    0.001    0.000    0.083    0.001 <frozen importlib._bootstrap>:890(_find_spec)
      145    0.000    0.000    0.082    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
  164/145    0.001    0.000    0.082    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
     9000    0.005    0.000    0.080    0.000 NetDiffEdge.py:16(__hash__)
      590    0.006    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     6944    0.004    0.000    0.077    0.000 NetDiffGraphElement.py:10(__init__)
    21737    0.075    0.000    0.075    0.000 {method 'fetchall' of 'mariadb.connection.cursor' objects}
    11360    0.006    0.000    0.075    0.000 NetDiffNode.py:16(__hash__)
        1    0.000    0.000    0.073    0.073 NetDERKB.py:1(<module>)
        4    0.000    0.000    0.072    0.018 NetDERChase.py:60(_get_atoms_mapping)
        4    0.000    0.000    0.072    0.018 RDBHomomorphism.py:93(get_atoms_mapping)
   665958    0.069    0.000    0.069    0.000 {built-in method builtins.id}
     2201    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     2201    0.064    0.000    0.064    0.000 {built-in method nt.stat}
     1416    0.004    0.000    0.060    0.000 NetDiffFact.py:9(__init__)
       12    0.000    0.000    0.056    0.005 __init__.py:1(<module>)
       42    0.000    0.000    0.052    0.001 <frozen importlib._bootstrap_external>:1173(__iter__)
       42    0.000    0.000    0.052    0.001 <frozen importlib._bootstrap_external>:1160(_recalculate)
      136    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     1416    0.005    0.000    0.052    0.000 NetCompTarget.py:10(__init__)
        1    0.000    0.000    0.051    0.051 RDBHomomorphism.py:1(<module>)
     3944    0.005    0.000    0.051    0.000 NetDiffNode.py:9(__init__)
     7232    0.035    0.000    0.050    0.000 Atom.py:42(map)
        1    0.003    0.003    0.048    0.048 prueba.py:193(get_new_graph)
     3000    0.005    0.000    0.048    0.000 NetDiffEdge.py:9(__init__)
   101449    0.047    0.000    0.048    0.000 Term.py:4(__init__)
        4    0.001    0.000    0.047    0.012 NetDiffGraph.py:8(__init__)
        1    0.000    0.000    0.046    0.046 Homomorphism.py:1(<module>)
   276417    0.046    0.000    0.046    0.000 {method 'encode' of 'str' objects}
     8000    0.018    0.000    0.046    0.000 random.py:386(choices)
        2    0.007    0.004    0.046    0.023 NetDiffInterpretation.py:58(applyGlobalRule)
    85746    0.045    0.000    0.045    0.000 {built-in method __new__ of type object at 0x00007FFF6AAF6810}
        1    0.000    0.000    0.045    0.045 subprocess.py:332(call)
        2    0.000    0.000    0.043    0.021 subprocess.py:1074(wait)
        2    0.000    0.000    0.043    0.021 subprocess.py:1349(_wait)
        1    0.043    0.043    0.043    0.043 {built-in method _winapi.WaitForSingleObject}
     1457    0.001    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      136    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.001    0.001    0.037    0.037 prueba.py:229(get_NetDiffFacts)
     2832    0.003    0.000    0.036    0.000 NetCompTarget.py:16(getBound)
     1227    0.000    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
    63339    0.023    0.000    0.033    0.000 const.py:38(__neg__)
     15/7    0.000    0.000    0.032    0.005 {built-in method builtins.__import__}
      136    0.030    0.000    0.030    0.000 {built-in method io.open_code}
   250200    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
   156512    0.029    0.000    0.029    0.000 interval.py:158(lower)
    43441    0.021    0.000    0.029    0.000 copyreg.py:90(__newobj__)
   162952    0.028    0.000    0.028    0.000 interval.py:165(upper)
     8000    0.021    0.000    0.027    0.000 random.py:399(<listcomp>)
    43392    0.027    0.000    0.027    0.000 Term.py:40(__str__)
    14/11    0.000    0.000    0.027    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    43441    0.027    0.000    0.027    0.000 {method '__reduce_ex__' of 'object' objects}
       14    0.000    0.000    0.025    0.002 NetDERKB.py:52(get_connection)
    27302    0.018    0.000    0.024    0.000 Label.py:10(__eq__)
       15    0.023    0.002    0.023    0.002 {method 'commit' of 'mariadb.connection' objects}
   217207    0.023    0.000    0.023    0.000 copy.py:182(_deepcopy_atomic)
       14    0.022    0.002    0.022    0.002 {built-in method mariadb._mariadb.connect}
162737/162520    0.020    0.000    0.020    0.000 {built-in method builtins.len}
    88178    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    21714    0.018    0.000    0.018    0.000 {method 'cursor' of 'mariadb.connection' objects}
